symbol,date,open,high,low,close,volume,change,changePercent,vwap
JPM,2025-09-15,307.17,309.95,307.17,308.9,7122015,1.73,0.56321,308.2975
JPM,2025-09-16,310.0,310.9,307.13,309.19,10525600,-0.81,-0.26129,309.305
JPM,2025-09-17,310.39,312.91,308.77,311.75,8657800,1.36,0.43816,310.955
JPM,2025-09-18,311.79,313.44,309.61,313.23,8050700,1.44,0.46185,312.0175
JPM,2025-09-19,313.6,315.8,309.12,314.78,23568600,1.18,0.37628,313.325
JPM,2025-09-22,309.8,313.7,309.56,312.44,7520200,2.64,0.85216,311.375
JPM,2025-09-23,311.82,316.31,310.58,312.74,8584420,0.925,0.29504,312.8625
JPM,2025-09-24,314.05,316.58,311.67,313.42,7310513,-0.63,-0.2006,313.93
JPM,2025-09-25,314.12,315.65,311.8,313.45,7083200,-0.67,-0.21329,313.755
JPM,2025-09-26,314.9,317.81,313.7,316.06,7258136,1.16,0.36837,315.6175
JPM,2025-09-29,317.06,318.01,313.66,315.69,6462442,-1.37,-0.43209,316.105
JPM,2025-09-30,316.25,317.41,310.11,315.43,11823315,-0.82,-0.25929,314.8
JPM,2025-10-01,313.97,314.59,307.41,310.71,9235211,-3.26,-1.04,311.67
JPM,2025-10-02,310.0,310.56,306.14,307.55,7600000,-2.45,-0.79032,308.5625
JPM,2025-10-03,308.51,311.66,308.21,310.03,6029900,1.52,0.49269,309.6025
JPM,2025-10-06,310.18,311.75,305.13,309.18,7214502,-1.0,-0.32239,309.06
JPM,2025-10-07,309.35,310.01,304.7,307.69,8454217,-1.66,-0.53661,307.9375
JPM,2025-10-08,308.21,308.78,303.55,304.03,6489900,-4.18,-1.36,306.1425
JPM,2025-10-09,305.05,308.04,303.39,305.53,7060332,0.48,0.15735,305.5025
JPM,2025-10-10,305.66,310.47,300.81,300.89,8597400,-4.77,-1.56,304.4575
JPM,2025-10-13,305.6,309.46,305.45,307.97,10788700,2.37,0.77552,307.12
JPM,2025-10-14,305.84,307.0,294.21,302.08,16178800,-3.76,-1.23,302.2825
JPM,2025-10-15,306.39,312.12,305.44,305.69,11354800,-0.7,-0.22847,307.41
JPM,2025-10-16,305.35,308.68,297.07,298.54,10549447,-6.81,-2.23,302.41
JPM,2025-10-17,299.16,299.55,294.2,297.56,10153500,-1.6,-0.53483,297.6175
JPM,2025-10-20,298.5,303.69,298.16,302.36,6894943,3.86,1.29,300.6775
JPM,2025-10-21,301.66,304.05,297.0,297.09,7372700,-4.57,-1.51,299.95
JPM,2025-10-22,297.77,298.06,290.54,294.11,8054115,-3.66,-1.23,295.12
JPM,2025-10-23,294.38,296.37,292.51,294.54,5438810,0.16,0.05435152,294.45
JPM,2025-10-24,296.08,302.6,295.45,300.44,7228330,4.36,1.47,298.6425
